post_id,num_likes,time_posted,day
1647977160834807241_189197666,15,03:43:28 PM,Tuesday
1640794382309312139_189197666,22,05:52:34 PM,Saturday
1616330646647516987_189197666,16,11:47:29 PM,Sunday
1616133551630278143_189197666,15,05:15:54 PM,Sunday
1589878938019269334_189197666,5,11:52:40 AM,Saturday
1589649485137507412_189197666,7,04:16:47 AM,Saturday
1588490132678272234_189197666,17,01:53:21 PM,Thursday
1575128475075935964_189197666,26,03:26:08 AM,Sunday
1572872117110947253_189197666,16,12:43:09 AM,Thursday
1564040988790436102_189197666,21,08:17:16 PM,Friday
1546737512771264420_189197666,19,11:18:21 PM,Tuesday
1546689972063545935_189197666,18,09:43:54 PM,Tuesday
1546076983082051361_189197666,21,01:26:00 AM,Tuesday
1545866657224928883_189197666,14,06:28:07 PM,Monday
1498060810453361978_189197666,10,07:26:26 PM,Friday
1497389237765484064_189197666,21,09:12:08 PM,Thursday
1497338432723345321_189197666,17,07:31:12 PM,Thursday
1496647568493459997_189197666,7,08:38:35 PM,Wednesday
1494529256380801250_189197666,11,10:29:52 PM,Sunday
1489633338980415363_189197666,16,04:22:33 AM,Monday
